銘柄,日付,"ROUGE-1,pre","ROUGE-1,re","ROUGE-1,F","ROUGE-L,pre","ROUGE-L,re","ROUGE-L,F"
ジーダット,2025/9/2,0.4090909090909091,0.5869565217391305,0.4821428571428572,0.21212121212121213,0.30434782608695654,0.25
FLネット,2025/9/2,0.37967914438502676,0.48299319727891155,0.42514970059880236,0.23529411764705882,0.29931972789115646,0.2634730538922156
イシン,2025/9/2,0.4470588235294118,0.39790575916230364,0.4210526315789474,0.22941176470588234,0.20418848167539266,0.21606648199445982
サスメド,2025/9/2,0.5621301775147929,0.4185022026431718,0.4797979797979798,0.28402366863905326,0.21145374449339208,0.24242424242424246
ACCESS,2025/9/2,0.34415584415584416,0.36551724137931035,0.35451505016722407,0.17532467532467533,0.18620689655172415,0.1806020066889632
ラクーンHD,2025/9/2,0.42441860465116277,0.3686868686868687,0.3945945945945946,0.20348837209302326,0.17676767676767677,0.1891891891891892
エフ・コード,2025/9/2,0.391025641025641,0.2975609756097561,0.3379501385041551,0.23717948717948717,0.18048780487804877,0.20498614958448755
高田機,2025/9/2,0.544,0.3177570093457944,0.40117994100294985,0.304,0.17757009345794392,0.22418879056047197
さくらネット,2025/9/2,0.36666666666666664,0.36065573770491804,0.36363636363636365,0.25833333333333336,0.2540983606557377,0.25619834710743805
高見サイ,2025/9/2,0.4925373134328358,0.3127962085308057,0.3826086956521739,0.30597014925373134,0.1943127962085308,0.23768115942028986
三栄コ,2025/9/2,0.16363636363636364,0.4576271186440678,0.24107142857142855,0.10909090909090909,0.3050847457627119,0.16071428571428573
みらいWKS,2025/9/2,0.48760330578512395,0.42142857142857143,0.45210727969348663,0.2975206611570248,0.2571428571428571,0.27586206896551724
インテG,2025/9/2,0.41605839416058393,0.2878787878787879,0.3402985074626866,0.23357664233576642,0.16161616161616163,0.191044776119403
ドリムアーツ,2025/9/2,0.5138121546961326,0.27596439169139464,0.3590733590733591,0.2983425414364641,0.16023738872403562,0.2084942084942085
ファンペップ,2025/9/2,0.3048780487804878,0.3225806451612903,0.3134796238244514,0.18902439024390244,0.2,0.1943573667711599
メタプラ,2025/9/2,0.42748091603053434,0.4307692307692308,0.4291187739463601,0.26717557251908397,0.2692307692307692,0.268199233716475
ホーチキ,2025/9/2,0.28104575163398693,0.3115942028985507,0.29553264604810997,0.1895424836601307,0.21014492753623187,0.1993127147766323
キタック,2025/9/2,0.5310734463276836,0.2789317507418398,0.3657587548638132,0.3050847457627119,0.16023738872403562,0.21011673151750973
ホトニクス,2025/9/2,0.47126436781609193,0.3241106719367589,0.3840749414519906,0.25862068965517243,0.17786561264822134,0.21077283372365338
Gオイスター,2025/9/2,0.4074074074074074,0.5238095238095238,0.4583333333333333,0.2518518518518518,0.3238095238095238,0.2833333333333333
